name,id,email,gender,birthdate,role
Jia Yi a/p Lim,S2025556727,jia.yi.lim@student.gmi.edu.my,Female,2002-03-06,student
Lakshmi a/p Venkatesh,S2025198501,lakshmi.venkatesh@student.gmi.edu.my,Female,2007-01-05,student
Pei Wen a/p Teh,S2025090680,pei.wen.teh@student.gmi.edu.my,Female,2005-12-19,student
Priya a/p Balakrishnan,S2025001677,priya.balakrishnan2@student.gmi.edu.my,Female,2006-12-02,student
Priya a/p Balakrishnan,S2025193648,priya.balakrishnan3@student.gmi.edu.my,Female,2001-07-22,student
Xin Yi a/p Lim,S2025194230,xin.yi.lim@student.gmi.edu.my,Female,2004-06-22,student
Pei Wen a/p Chin,S2025639080,pei.wen.chin@student.gmi.edu.my,Female,2005-01-20,student
Sabrina binti Ridzuan,S2025123577,sabrina.ridzuan@student.gmi.edu.my,Female,2002-12-03,student
Murali a/l Raman,S2025896385,murali.raman@student.gmi.edu.my,Male,2005-07-12,student
Fatin binti Sharif,S2025122986,fatin.sharif@student.gmi.edu.my,Female,2004-05-03,student
Suresh a/l Gopal,F2025070620,suresh.gopal@staff.gmi.edu.my,Male,1970-01-03,staff
Faiz bin Nasir,S2025624773,faiz.nasir@student.gmi.edu.my,Male,2003-06-21,student
Kavita a/p Muthu,S2025663352,kavita.muthu2@student.gmi.edu.my,Female,2006-01-11,student
Zi Hao a/l Lee,S2025474251,zi.hao.lee@student.gmi.edu.my,Male,2004-10-23,student
Azlan bin Salim,S2025000829,azlan.salim@student.gmi.edu.my,Male,2005-06-06,student
Balqis binti Othman,S2025183346,balqis.othman@student.gmi.edu.my,Female,2004-06-03,student
Kai Wen a/l Lim,F2025229274,kai.wen.lim@staff.gmi.edu.my,Male,1984-06-24,staff
Prakash a/l Perumal,F2025914592,prakash.perumal@staff.gmi.edu.my,Male,1982-06-22,staff
Suresh a/l Gopal,S2025352156,suresh.gopal@student.gmi.edu.my,Male,2000-09-05,student
Jia Hao a/l Low,S2025007676,jia.hao.low@student.gmi.edu.my,Male,2007-09-27,student
Ai Ling a/p Phang,S2025478634,ai.ling.phang@student.gmi.edu.my,Female,2002-01-13,student
Azlan bin Nawawi,S2025844138,azlan.nawawi@student.gmi.edu.my,Male,2003-01-07,student
Arun a/l Rangasamy,S2025198874,arun.rangasamy@student.gmi.edu.my,Male,2004-05-23,student
Yee Ling a/p Ng,T2025260376,yee.ling.ng@tto.gmi.edu.my,Female,1981-10-11,TTO
Arissa binti Salim,S2025974641,arissa.salim@student.gmi.edu.my,Female,2006-10-20,student
Anand a/l Balakrishnan,S2025626198,anand.balakrishnan@student.gmi.edu.my,Male,2007-02-17,student
Hasif bin Mansor,S2025299895,hasif.mansor@student.gmi.edu.my,Male,2003-05-21,student
Hao a/l Lee,T2025725340,hao.lee@tto.gmi.edu.my,Male,1978-01-15,TTO
Lakshmi a/p Subramaniam,S2025576246,lakshmi.subramaniam@student.gmi.edu.my,Female,2007-08-28,student
Zhi Yang a/l Pang,S2025135118,zhi.yang.pang@student.gmi.edu.my,Male,2000-02-27,student
Liang a/l Chin,S2025412982,liang.chin@student.gmi.edu.my,Male,2000-04-19,student
Saravanan a/l Venkatesh,S2025198079,saravanan.venkatesh@student.gmi.edu.my,Male,2004-05-12,student
Safwan bin Osman,S2025432547,safwan.osman@student.gmi.edu.my,Male,2005-11-30,student
Zikri bin Nawawi,T2025006125,zikri.nawawi@tto.gmi.edu.my,Male,1993-10-22,TTO
Khai Ming a/l Goh,S2025412685,khai.ming.goh@student.gmi.edu.my,Male,2006-09-26,student
Kavita a/p Gopal,S2025837136,kavita.gopal@student.gmi.edu.my,Female,2005-08-29,student
Alya binti Ibrahim,S2025191306,alya.ibrahim@student.gmi.edu.my,Female,2007-05-03,student
Prakash a/l Gopal,S2025951746,prakash.gopal@student.gmi.edu.my,Male,2003-07-22,student
Wei Han a/l Chong,S2025226765,wei.han.chong@student.gmi.edu.my,Male,2005-02-12,student
Mani a/l Raman,T2025098816,mani.raman@tto.gmi.edu.my,Male,1984-08-15,TTO
Ming Jie a/l Goh,S2025452733,ming.jie.goh@student.gmi.edu.my,Male,2007-03-16,student
Kavita a/p Subramaniam,S2025158209,kavita.subramaniam@student.gmi.edu.my,Female,2007-09-23,student
Safwan bin Salleh,S2025819322,safwan.salleh@student.gmi.edu.my,Male,2007-07-25,student
Sabrina binti Halim,S2025275119,sabrina.halim@student.gmi.edu.my,Female,2007-06-20,student
Mani a/l Subramaniam,S2025258067,mani.subramaniam2@student.gmi.edu.my,Male,2004-06-17,student
Khai Ming a/l Pang,S2025151351,khai.ming.pang@student.gmi.edu.my,Male,2005-03-18,student
Zafran bin Sulaiman,S2025986419,zafran.sulaiman@student.gmi.edu.my,Male,2004-12-08,student
Khai Ming a/l Liew,T2025373636,khai.ming.liew@tto.gmi.edu.my,Male,1983-05-06,TTO
Dina binti Ali,S2025339261,dina.ali@student.gmi.edu.my,Female,2003-09-08,student
Karthik a/l Rangasamy,S2025243369,karthik.rangasamy@student.gmi.edu.my,Male,2003-11-02,student
Fatin binti Omar,S2025116413,fatin.omar@student.gmi.edu.my,Female,2004-04-17,student
Priya a/p Raman,S2025069035,priya.raman2@student.gmi.edu.my,Female,2000-10-28,student
Han Bin a/l Chin,T2025794796,han.chin@tto.gmi.edu.my,Male,1988-09-22,TTO
Syazana binti Hashim,S2025542705,syazana.hashim@student.gmi.edu.my,Female,2001-09-22,student
Ahmad bin Rahman,T2025503789,ahmad.rahman@tto.gmi.edu.my,Male,1981-01-08,TTO
Elena binti Zain,S2025905607,elena.zain@student.gmi.edu.my,Female,2005-04-11,student
Han Bin a/l Chai,S2025056043,han.chai2@student.gmi.edu.my,Male,2000-10-29,student
Rafiq bin Rahim,S2025911582,rafiq.rahim@student.gmi.edu.my,Male,2005-01-02,student
Zulaikha binti Fauzi,S2025867949,zulaikha.fauzi@student.gmi.edu.my,Female,2004-04-27,student
Rania binti Sulaiman,S2025740818,rania.sulaiman@student.gmi.edu.my,Female,2004-03-11,student
Zhi Yang a/l Chong,S2025441166,zhi.yang.chong@student.gmi.edu.my,Male,2002-12-21,student
Khadijah binti Rahim,S2025945215,khadijah.rahim@student.gmi.edu.my,Female,2003-06-24,student
Kavita a/p Venkatesh,S2025894327,kavita.venkatesh@student.gmi.edu.my,Female,2001-07-08,student
Jia Hao a/l Tee,S2025329790,jia.hao.tee@student.gmi.edu.my,Male,2000-09-18,student
Shalini a/p Raman,S2025987953,shalini.raman2@student.gmi.edu.my,Female,2006-01-14,student
Yan Yi a/p Ng,S2025155701,yan.yi.ng@student.gmi.edu.my,Female,2000-05-27,student
Mani a/l Murugan,T2025875856,mani.murugan@tto.gmi.edu.my,Male,1982-04-09,TTO
Hao a/l Chai,S2025368725,hao.chai@student.gmi.edu.my,Male,2000-10-24,student
Alya binti Zawawi,S2025937704,alya.zawawi@student.gmi.edu.my,Female,2002-12-11,student
Kai Wen a/l Teh,S2025123060,kai.wen.teh@student.gmi.edu.my,Male,2005-02-05,student
Anusha a/p Krishnan,S2025414470,anusha.krishnan@student.gmi.edu.my,Female,2002-05-20,student
Azlan bin Majid,T2025171651,azlan.majid@tto.gmi.edu.my,Male,1986-01-01,TTO
Azlan bin Ridzuan,S2025541972,azlan.ridzuan@student.gmi.edu.my,Male,2000-02-05,student
Murali a/l Krishnan,F2025802484,murali.krishnan@staff.gmi.edu.my,Male,1998-10-25,staff
Faris bin Kassim,S2025867113,faris.kassim@student.gmi.edu.my,Male,2003-07-14,student
Kumar a/l Krishnan,S2025180637,kumar.krishnan@student.gmi.edu.my,Male,2007-09-21,student
Zhi Yang a/l Liew,S2025204677,zhi.yang.liew2@student.gmi.edu.my,Male,2000-05-07,student
Vijay a/l Muthu,S2025868335,vijay.muthu@student.gmi.edu.my,Male,2004-01-17,student
Kumar a/l Muthu,S2025030416,kumar.muthu@student.gmi.edu.my,Male,2004-09-19,student
Zi Hao a/l Koh,S2025503208,zi.hao.koh@student.gmi.edu.my,Male,2000-04-13,student
Hao a/l Tan,S2025108551,hao.tan@student.gmi.edu.my,Male,2005-03-10,student
Nadia binti Zawawi,S2025197076,nadia.zawawi@student.gmi.edu.my,Female,2003-11-23,student
Raja a/l Krishnan,S2025236473,raja.krishnan@student.gmi.edu.my,Male,2005-11-01,student
Murali a/l Rangasamy,S2025494257,murali.rangasamy@student.gmi.edu.my,Male,2006-12-16,student
Murali a/l Muthu,S2025858738,murali.muthu@student.gmi.edu.my,Male,2006-05-15,student
Deepa a/p Subramaniam,S2025435275,deepa.subramaniam@student.gmi.edu.my,Female,2003-11-15,student
Nalini a/p Subramaniam,S2025003913,nalini.subramaniam@student.gmi.edu.my,Female,2001-04-06,student
Syazana binti Sulaiman,S2025764869,syazana.sulaiman@student.gmi.edu.my,Female,2001-12-31,student
Meera a/p Balakrishnan,F2025686802,meera.balakrishnan@staff.gmi.edu.my,Female,1983-06-15,staff
Luqman bin Othman,S2025204053,luqman.othman@student.gmi.edu.my,Male,2007-04-22,student
Nurin binti Zain,S2025576699,nurin.zain@student.gmi.edu.my,Female,2006-10-02,student
Kumar a/l Venkatesh,T2025861145,kumar.venkatesh@tto.gmi.edu.my,Male,1994-05-15,TTO
Qin Yi a/p Chin,S2025518740,qin.yi.chin@student.gmi.edu.my,Female,2003-03-14,student
Yan Yi a/p Phang,S2025709673,yan.yi.phang@student.gmi.edu.my,Female,2003-10-23,student
Deepa a/p Subramaniam,T2025841620,deepa.subramaniam@tto.gmi.edu.my,Female,1980-09-10,TTO
Lina binti Jamal,S2025885735,lina.jamal@student.gmi.edu.my,Female,2004-07-04,student
Izzah binti Ridzuan,S2025435772,izzah.ridzuan@student.gmi.edu.my,Female,2002-08-02,student
Karthik a/l Perumal,F2025384995,karthik.perumal@staff.gmi.edu.my,Male,1981-06-03,staff
Hui Xin a/p Chia,S2025203769,hui.xin.chia@student.gmi.edu.my,Female,2001-07-17,student
Saravanan a/l Perumal,S2025652706,saravanan.perumal2@student.gmi.edu.my,Male,2005-03-29,student
Hao a/l Ng,S2025465377,hao.ng@student.gmi.edu.my,Male,2006-04-01,student
Sarimah binti Othman,S2025629282,sarimah.othman@student.gmi.edu.my,Female,2004-08-07,student
Nalini a/p Perumal,F2025549794,nalini.perumal@staff.gmi.edu.my,Female,1989-08-17,staff
Putri binti Aziz,F2025073269,putri.aziz@staff.gmi.edu.my,Female,1982-03-02,staff
Liang a/l Chia,S2025023630,liang.chia2@student.gmi.edu.my,Male,2002-09-01,student
Vijay a/l Venkatesh,S2025606106,vijay.venkatesh@student.gmi.edu.my,Male,2002-10-05,student
Yan Yi a/p Liew,S2025196019,yan.yi.liew@student.gmi.edu.my,Female,2005-11-01,student
Haris bin Salim,T2025914094,haris.salim@tto.gmi.edu.my,Male,1992-10-10,TTO
Hui Xin a/p Wong,S2025445655,hui.xin.wong@student.gmi.edu.my,Female,2000-01-07,student
Arissa binti Jamal,S2025208028,arissa.jamal@student.gmi.edu.my,Female,2003-07-12,student
Jun Wei a/l Pang,S2025621440,jun.wei.pang@student.gmi.edu.my,Male,2005-07-23,student
Hana binti Salleh,S2025583102,hana.salleh@student.gmi.edu.my,Female,2002-01-18,student
Haikal bin Nawawi,T2025090317,haikal.nawawi@tto.gmi.edu.my,Male,1993-04-23,TTO
Arun a/l Rangasamy,S2025155506,arun.rangasamy2@student.gmi.edu.my,Male,2000-11-11,student
Lakshmi a/p Perumal,S2025740431,lakshmi.perumal@student.gmi.edu.my,Female,2003-03-03,student
Xin Yi a/p Yap,S2025106689,xin.yi.yap@student.gmi.edu.my,Female,2002-03-30,student
Zi Hao a/l Pang,T2025845342,zi.hao.pang@tto.gmi.edu.my,Male,1987-09-26,TTO
Thaqif bin Yahya,S2025370313,thaqif.yahya@student.gmi.edu.my,Male,2002-08-16,student
Zi Ying a/p Ng,S2025244392,zi.ying.ng@student.gmi.edu.my,Female,2003-04-14,student
Xin Yi a/p Tan,S2025260808,xin.yi.tan@student.gmi.edu.my,Female,2003-01-02,student
Zi Hao a/l Lee,F2025705063,zi.hao.lee@staff.gmi.edu.my,Male,1998-03-01,staff
Zi Hao a/l Lee,S2025481362,zi.hao.lee2@student.gmi.edu.my,Male,2002-04-24,student
Meera a/p Krishnan,T2025665400,meera.krishnan@tto.gmi.edu.my,Female,1995-07-20,TTO
Kumar a/l Rangasamy,S2025830321,kumar.rangasamy@student.gmi.edu.my,Male,2001-01-12,student
Hafiz bin Shah,S2025221271,hafiz.shah@student.gmi.edu.my,Male,2006-08-31,student
Jia Hao a/l Chai,F2025342669,jia.hao.chai@staff.gmi.edu.my,Male,1997-10-22,staff
Yu Xuan a/l Teh,S2025476854,yu.xuan.teh@student.gmi.edu.my,Male,2003-09-05,student
Karthik a/l Raman,T2025188293,karthik.raman@tto.gmi.edu.my,Male,1987-10-29,TTO
Kavita a/p Muthu,T2025698530,kavita.muthu@tto.gmi.edu.my,Female,1994-12-06,TTO
Meera a/p Muthu,F2025248356,meera.muthu@staff.gmi.edu.my,Female,1976-09-26,staff
Xue Ting a/p Pang,S2025973440,xue.ting.pang@student.gmi.edu.my,Female,2006-02-15,student
Deepa a/p Murugan,S2025047945,deepa.murugan2@student.gmi.edu.my,Female,2004-08-19,student
Deepa a/p Gopal,S2025260736,deepa.gopal@student.gmi.edu.my,Female,2006-04-15,student
Amir bin Sulaiman,S2025474655,amir.sulaiman@student.gmi.edu.my,Male,2001-02-28,student
Kai Wen a/l Yeo,S2025071317,kai.wen.yeo2@student.gmi.edu.my,Male,2007-04-25,student
Faris bin Hashim,S2025626212,faris.hashim@student.gmi.edu.my,Male,2004-12-27,student
Yan Yi a/p Chai,S2025409574,yan.yi.chai@student.gmi.edu.my,Female,2003-09-27,student
Anusha a/p Venkatesh,S2025327450,anusha.venkatesh@student.gmi.edu.my,Female,2004-12-18,student
Azlan bin Shukri,S2025719195,azlan.shukri@student.gmi.edu.my,Male,2003-03-10,student
Priya a/p Rangasamy,S2025609557,priya.rangasamy@student.gmi.edu.my,Female,2007-01-07,student
Ahmad bin Sharif,S2025644848,ahmad.sharif@student.gmi.edu.my,Male,2007-10-07,student
Haris bin Sharif,S2025591364,haris.sharif@student.gmi.edu.my,Male,2001-01-23,student
Xin Yi a/p Tee,S2025788531,xin.yi.tee@student.gmi.edu.my,Female,2001-04-22,student
Hasif bin Sulaiman,S2025859431,hasif.sulaiman@student.gmi.edu.my,Male,2001-01-04,student
Sarimah binti Yaacob,S2025664630,sarimah.yaacob@student.gmi.edu.my,Female,2004-03-26,student
Nalini a/p Perumal,T2025300744,nalini.perumal@tto.gmi.edu.my,Female,1994-04-06,TTO
Divya a/p Murugan,S2025472332,divya.murugan@student.gmi.edu.my,Female,2002-04-05,student
Liang a/l Ng,S2025721182,liang.ng@student.gmi.edu.my,Male,2000-10-21,student
Vijay a/l Gopal,S2025058077,vijay.gopal@student.gmi.edu.my,Male,2004-08-07,student
Wei Han a/l Tee,S2025826980,wei.han.tee@student.gmi.edu.my,Male,2007-11-13,student
Kumar a/l Muthu,S2025071824,kumar.muthu2@student.gmi.edu.my,Male,2007-10-26,student
Mira a/p Subramaniam,S2025871448,mira.subramaniam@student.gmi.edu.my,Female,2003-12-23,student
Thaqif bin Majid,S2025380179,thaqif.majid@student.gmi.edu.my,Male,2007-07-27,student
Anita a/p Venkatesh,S2025591786,anita.venkatesh@student.gmi.edu.my,Female,2001-10-18,student
Saravanan a/l Perumal,S2025978853,saravanan.perumal3@student.gmi.edu.my,Male,2007-06-05,student
Mani a/l Subramaniam,S2025843164,mani.subramaniam3@student.gmi.edu.my,Male,2004-08-27,student
Wafi bin Karim,S2025868069,wafi.karim@student.gmi.edu.my,Male,2002-07-04,student
Nadia binti Ibrahim,T2025481937,nadia.ibrahim@tto.gmi.edu.my,Female,1989-08-22,TTO
Elena binti Ali,S2025099971,elena.ali@student.gmi.edu.my,Female,2000-06-03,student
Anand a/l Perumal,S2025460380,anand.perumal@student.gmi.edu.my,Male,2000-03-11,student
Danish bin Mansor,S2025011283,danish.mansor@student.gmi.edu.my,Male,2006-06-08,student
Asya a/p Murugan,S2025422672,asya.murugan@student.gmi.edu.my,Female,2007-09-07,student
Khai Ming a/l Chen,S2025818964,khai.ming.chen@student.gmi.edu.my,Male,2001-01-19,student
Jia Hao a/l Low,S2025070971,jia.hao.low2@student.gmi.edu.my,Male,2001-07-08,student
Pei Wen a/p Goh,S2025849758,pei.wen.goh@student.gmi.edu.my,Female,2003-07-17,student
Karthik a/l Raman,S2025497931,karthik.raman@student.gmi.edu.my,Male,2000-09-15,student
Raja a/l Krishnan,S2025650440,raja.krishnan2@student.gmi.edu.my,Male,2001-12-15,student
Deepa a/p Muthu,S2025550344,deepa.muthu2@student.gmi.edu.my,Female,2002-11-26,student
Anita a/p Balakrishnan,T2025911400,anita.balakrishnan2@tto.gmi.edu.my,Female,1987-07-13,TTO
Hao a/l Tan,S2025485549,hao.tan2@student.gmi.edu.my,Male,2002-08-22,student
Asya a/p Gopal,S2025984045,asya.gopal@student.gmi.edu.my,Female,2000-11-02,student
Jia Hao a/l Yeo,T2025802022,jia.hao.yeo@tto.gmi.edu.my,Male,1992-09-23,TTO
Kai Wen a/l Teh,F2025020752,kai.wen.teh@staff.gmi.edu.my,Male,1976-06-13,staff
Mani a/l Perumal,S2025806292,mani.perumal2@student.gmi.edu.my,Male,2006-08-19,student
Anita a/p Rangasamy,S2025462687,anita.rangasamy2@student.gmi.edu.my,Female,2002-03-31,student
Wei Jian a/l Liew,S2025190802,wei.jian.liew@student.gmi.edu.my,Male,2002-12-17,student
Jia Hao a/l Yap,S2025341204,jia.hao.yap2@student.gmi.edu.my,Male,2005-08-29,student
Hao a/l Yeo,S2025509579,hao.yeo@student.gmi.edu.my,Male,2001-06-26,student
Talha bin Razak,S2025497497,talha.razak@student.gmi.edu.my,Male,2004-05-17,student
Kamil bin Mahmud,T2025235802,kamil.mahmud@tto.gmi.edu.my,Male,1977-11-17,TTO
Prakash a/l Perumal,S2025186376,prakash.perumal@student.gmi.edu.my,Male,2006-08-19,student
Zhi Yang a/l Phang,S2025000969,zhi.yang.phang@student.gmi.edu.my,Male,2002-03-07,student
Kumar a/l Krishnan,S2025119297,kumar.krishnan2@student.gmi.edu.my,Male,2006-02-21,student
Haikal bin Sani,S2025937898,haikal.sani@student.gmi.edu.my,Male,2004-08-17,student
Ramesh a/l Muthu,S2025749019,ramesh.muthu@student.gmi.edu.my,Male,2005-09-06,student
Maryam binti Hassan,S2025312599,maryam.hassan@student.gmi.edu.my,Female,2005-10-09,student
Sabrina binti Saad,S2025527169,sabrina.saad@student.gmi.edu.my,Female,2003-07-09,student
Jia Hao a/l Pang,S2025469681,jia.hao.pang@student.gmi.edu.my,Male,2007-03-24,student
Nalini a/p Krishnan,T2025070386,nalini.krishnan@tto.gmi.edu.my,Female,1981-05-09,TTO
Maryam binti Basir,S2025929585,maryam.basir@student.gmi.edu.my,Female,2001-06-03,student
Alya binti Ismail,S2025758660,alya.ismail@student.gmi.edu.my,Female,2006-01-22,student
Arissa binti Sharif,S2025456995,arissa.sharif@student.gmi.edu.my,Female,2006-10-27,student
Zubair bin Karim,S2025521112,zubair.karim@student.gmi.edu.my,Male,2007-04-24,student
Aina binti Nawawi,S2025761875,aina.nawawi@student.gmi.edu.my,Female,2003-06-26,student
Farhan bin Rahim,S2025337184,farhan.rahim@student.gmi.edu.my,Male,2003-08-20,student
Amir bin Rahim,S2025749754,amir.rahim@student.gmi.edu.my,Male,2005-08-11,student
Latifah binti Rahim,S2025580364,latifah.rahim@student.gmi.edu.my,Female,2002-12-17,student
Irdina binti Zawawi,S2025836047,irdina.zawawi@student.gmi.edu.my,Female,2005-10-27,student
Thaqif bin Zainal,S2025983523,thaqif.zainal@student.gmi.edu.my,Male,2003-07-31,student
Xin Yi a/p Pang,S2025767346,xin.yi.pang@student.gmi.edu.my,Female,2000-01-13,student
Humaira binti Nawawi,S2025046285,humaira.nawawi@student.gmi.edu.my,Female,2001-04-04,student
Taufiq bin Azman,S2025245143,taufiq.azman@student.gmi.edu.my,Male,2007-12-13,student
Yee Ling a/p Pang,S2025851968,yee.ling.pang@student.gmi.edu.my,Female,2006-06-11,student
Khai Ming a/l Ng,S2025369510,khai.ming.ng@student.gmi.edu.my,Male,2001-10-08,student
Wei Han a/l Koh,S2025307433,wei.han.koh@student.gmi.edu.my,Male,2005-12-26,student
Mei Ling a/p Tee,S2025331993,mei.ling.tee@student.gmi.edu.my,Female,2005-11-10,student
Fatin binti Salleh,S2025394578,fatin.salleh@student.gmi.edu.my,Female,2004-06-22,student
Anita a/p Muthu,S2025292265,anita.muthu@student.gmi.edu.my,Female,2004-04-25,student
Amirah binti Yahya,T2025331918,amirah.yahya@tto.gmi.edu.my,Female,1984-04-06,TTO
